constituency_no,division,constituency_name,poverty_rate,literacy_rate,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,margin,total_voters,male_voters,female_voters,transgender_voters,status,top2_votes,winner_share_top2,margin_pct_top2,male_pct,female_pct,transgender_pct,gender_gap,competitiveness
172,Dhaka,Munshiganj-2,11.3,50.8,Abdus Salam Azad,BNP,121154.0,Majedul Islam,NCP,58573.0,62581.0,378492,194720,183772,0,Normal,179727.0,67.41001630250324,34.82003260500648,51.4462657070691,48.5537342929309,0.0,2.8925314141382046,Large
173,Dhaka,Munshiganj-3,11.3,50.8,Md. Kamruzzaman,BNP,124691.0,Mohiuddin,IND,88936.0,35755.0,509467,263075,246390,2,Normal,213627.0,58.368558281490635,16.73711656298127,51.63729937365914,48.362308059206974,0.0003925671338869839,3.2749913144521656,Moderate
174,Dhaka,Dhaka-1,8.6,50.8,Khandaker Abu Ashfaq,BNP,173781.0,Mohammad Nazrul Islam,Jamaat,112622.0,61159.0,545140,276050,269085,5,Normal,286403.0,60.67708787966607,21.35417575933213,50.6383681256191,49.360714678798104,0.0009171955827860733,1.2776534468209988,Moderate
175,Dhaka,Dhaka-2,8.6,50.8,Amanullah Aman,BNP,163020.0,Md. Abdul Haque,Jamaat,78655.0,84365.0,414215,217908,201298,9,Normal,241675.0,67.45422571635461,34.908451432709214,52.60746230822158,48.59746749876272,0.0021727846649686757,4.00999480945886,Large
176,Dhaka,Dhaka-3,8.6,50.8,Gayeshwar Chandra Roy,BNP,99163.0,Md. Shahinur Islam,Jamaat,83264.0,15899.0,362159,184971,177184,4,Normal,182427.0,54.357633464344644,8.715266928689285,51.07452803878959,48.92436747395481,0.0011044872555976794,2.1501605648347777,Close
177,Dhaka,Dhaka-4,8.6,50.8,Syed Zainul Abedin,Jamaat,77367.0,Tanveer Ahmed,BNP,74447.0,2920.0,362506,186476,176034,5,Normal,151814.0,50.96170313673311,1.9234062734662154,51.44080373842088,48.56029969159131,0.0013792875152411272,2.8805040468295715,Very Close
178,Dhaka,Dhaka-5,8.6,50.8,Mohammad Kamal Hossain,Jamaat,96641.0,Md Nabi Ulla,BNP,87491.0,9150.0,419996,214594,205397,5,Normal,184132.0,52.48463059109769,4.969261182195382,51.09429613615368,48.90451337631787,0.001190487528452652,2.1897827598358077,Very Close
179,Dhaka,Dhaka-6,8.6,50.8,Ishraque Hossain,BNP,78850.0,Md. Abdul Mannan,Jamaat,55697.0,23153.0,292284,152520,139761,3,Normal,134547.0,58.60405657502583,17.208113150051656,52.18212423533276,47.81684936568543,0.00102639898181221,4.36527486964733,Moderate
180,Dhaka,Dhaka-7,8.6,50.8,Hamidur Rahman,BNP,104666.0,Md. Enayat Ulla,Jamaat,98483.0,6183.0,498263,259698,238553,12,Normal,203149.0,51.52178942549557,3.0435788509911443,52.120667197845314,47.87692443548889,0.0024083666657969786,4.243742762356426,Very Close
181,Dhaka,Dhaka-8,8.6,50.8,Mirza Abbas,BNP,59366.0,Nasiruddin Patwary,NCP,54127.0,5239.0,275471,152795,122675,1,Normal,113493.0,52.30807186346295,4.61614372692589,55.46681864878698,44.53281833659442,0.000363014618598691,10.934000312192566,Very Close
182,Dhaka,Dhaka-9,8.6,50.8,Habibur Rashid,BNP,111212.0,Mohammad Javed Mia,NCP,53460.0,57752.0,469359,237673,231681,5,Normal,164672.0,67.53546443839875,35.07092887679752,50.637784723420666,49.36114999392789,0.0010652826514459081,1.276634729492777,Large
183,Dhaka,Dhaka-10,8.6,50.8,Sheikh Rabiul Alam,BNP,80436.0,Md. Jasim Uddin Sarkar,Jamaat,77136.0,3300.0,388660,204604,184050,6,Normal,157572.0,51.04714035488539,2.0942807097707714,52.64344156846601,47.35501466577471,0.0015437657592754595,5.288426902691299,Very Close
184,Dhaka,Dhaka-11,8.6,50.8,Nahid Islam,NCP,93872.0,M. A. Qayyum,BNP,91833.0,2039.0,439078,222877,216198,3,Normal,185705.0,50.54898898791094,1.0979779758218682,50.76022938976674,49.239087360332334,0.0006832499009287643,1.521142029434408,Very Close
185,Dhaka,Dhaka-12,8.6,50.8,Saiful Alam Khan Milon,Jamaat,53773.0,Saiful Haque,BRWP,30963.0,22810.0,333320,174349,158968,3,Normal,84736.0,63.45945052870091,26.91890105740181,52.306792271690874,47.69230769230769,0.0009000360014400576,4.614484579383181,Moderate
186,Dhaka,Dhaka-13,8.6,50.8,Bobby Hajjaj,BNP,88387.0,Mamunul Haque,BKM,86067.0,2320.0,408791,209812,198971,8,Normal,174454.0,50.66493172985429,1.3298634597085766,51.325004709007786,48.67303830074537,0.0019569902468498574,2.6519664082624175,Very Close
187,Dhaka,Dhaka-14,8.6,50.8,Mir Ahmad Bin Quasem,Jamaat,101113.0,Sanjida Islam,BNP,83323.0,17790.0,410591,208560,202027,4,Normal,184436.0,54.8228111648485,9.645622329697021,50.79507344291522,49.20395235161024,0.0009742054745476641,1.5911210913049771,Close
188,Dhaka,Dhaka-15,8.6,50.8,Shafiqur Rahman,Jamaat,85131.0,Md. Shafiqul Islam Khan,BNP,63513.0,21618.0,351718,179616,172098,4,Normal,148644.0,57.2717364979414,14.54347299588278,51.06818530754752,48.930677417703954,0.001137274748520121,2.137507889843569,Close
189,Dhaka,Dhaka-16,8.6,50.8,Md. Abdul Baten,Jamaat,88828.0,Aminul Haque,BNP,85467.0,3361.0,400499,201168,199323,8,Normal,174295.0,50.964169941765405,1.9283398835307954,50.2293388997226,49.76866359216877,0.0019975081086344784,0.4606753075538279,Very Close
190,Dhaka,Dhaka-17,8.6,50.8,Tarique Rahman,BNP,72699.0,S. M. Khaliduzzaman,Jamaat,68300.0,4399.0,333777,174709,159060,8,Normal,140999.0,51.559940141419446,3.1198802828388854,52.343031425173095,47.654571764980815,0.002396809846094848,4.688459660192279,Very Close
191,Dhaka,Dhaka-18,8.6,50.8,SM Jahangir Hossain,BNP,144715.0,Ariful Islam,NCP,111297.0,33418.0,613883,313050,300827,6,Normal,256012.0,56.52664718841305,13.053294376826086,50.99505931912107,49.003963295937496,0.0009773849414302074,1.991096023183573,Close
192,Dhaka,Dhaka-19,8.6,50.8,Dewan Md. Salauddin,BNP,190976.0,Dilshana Parul,NCP,125283.0,65693.0,747070,379906,367151,13,Normal,316259.0,60.385949490765476,20.77189898153096,50.8527982652228,49.14546160333034,0.0017401314468523698,1.7073366618924624,Moderate
193,Dhaka,Dhaka-20,8.6,50.8,Md. Tamiz Uddin,BNP,160428.0,Nabila Tasnid,NCP,56343.0,104085.0,376639,187835,188802,2,Normal,216771.0,74.00805458294698,48.01610916589396,49.87136223280117,50.128106754743925,0.0005310124548971296,-0.2567445219427569,Large
194,Dhaka,Gazipur-1,1.8,50.8,Md. Mojibur Rahman,BNP,208688.0,Md. Shah Alam Bakshi,Jamaat,149553.0,59135.0,720939,360234,360693,12,Normal,358241.0,58.25352207033813,16.50704414067625,49.96733426822519,50.0310012358882,0.00166449588661454,-0.06366696766301061,Moderate
195,Dhaka,Gazipur-2,1.8,50.8,M. Manjurul Karim Roni,BNP,188606.0,Ali Nacher Khan,NCP,140950.0,47656.0,804333,400402,403918,13,Normal,329556.0,57.23033414654869,14.460668293097378,49.78062568612751,50.21775806786493,0.0016162460075615447,-0.4371323817374204,Close
196,Dhaka,Gazipur-3,1.8,50.8,S. M. Rafiqul Islam,BNP,162343.0,Muhammad Ehsanul Haque,BKM,100539.0,61804.0,527360,260191,267162,7,Normal,262882.0,61.75508403009715,23.51016806019431,49.3384026092233,50.660270024271846,0.001327366504854369,-1.321867415048544,Moderate
197,Dhaka,Gazipur-4,1.8,50.8,Salahuddin Aiyubi,Jamaat,101779.0,Shah Riazul Hannan,BNP,90390.0,11389.0,330977,164429,166548,0,Normal,192169.0,52.96327711545567,5.926554230911333,49.679887122065885,50.32011287793412,0.0,-0.6402257558682365,Close
198,Dhaka,Gazipur-5,1.8,50.8,AKM Fazlul Haque Milon,BNP,133869.0,Md. Khairul Hasan,Jamaat,78123.0,55746.0,312930,158337,154593,0,Normal,211992.0,63.14813766557229,26.29627533114457,50.598216853609436,49.401783146390564,0.0,1.1964337072188727,Moderate
199,Dhaka,Narsingdi-1,43.7,50.8,Khairul Kabir Khokon,BNP,161405.0,Md. Ibrahim Bhuiyan,Jamaat,95349.0,66056.0,477209,243945,233252,12,Normal,256754.0,62.86367495735218,25.727349914704345,51.11911133277034,48.87837404575354,0.0025146214761247168,2.240737287016799,Moderate
200,Dhaka,Narsingdi-2,43.7,50.8,Abdul Moyeen Khan,BNP,92739.0,Md. Amjad Hossain,Jamaat,55920.0,36819.0,286218,145235,140978,5,Normal,148659.0,62.383710370714184,24.76742074142837,50.742790460418284,49.255462619401996,0.0017469201797231482,1.4873278410162882,Moderate
201,Dhaka,Narsingdi-3,43.7,50.8,Manzoor Elahi,BNP,82061.0,Md. Ariful Islam Mridha,IND,45682.0,36379.0,284248,142947,141300,1,Normal,127743.0,64.23913639103512,28.478272782070253,50.28953589822972,49.71011229630464,0.00035180546564971433,0.579423601925086,Moderate
202,Dhaka,Narsingdi-4,43.7,50.8,Sardar Shakhawat Hossain Bokul,BNP,163392.0,Md. Jahangir Alam,Jamaat,78744.0,84648.0,428954,212677,216274,3,Normal,242136.0,67.47943304589157,34.95886609178313,49.5803745856199,50.41892603868946,0.0006993756906334945,-0.838551453069563,Large
203,Dhaka,Narsingdi-5,43.7,50.8,Md. Ashraf Uddin,BNP,137690.0,Tajul Islam,BKM,44981.0,92709.0,494650,255570,239065,15,Normal,182671.0,75.37594911069628,50.75189822139256,51.66683513595471,48.33013241686041,0.0030324471848781967,3.336702719094305,Very Large
204,Dhaka,Narayanganj-1,13.7,50.8,Mustafizur Rahman Bhuiyan,BNP,158358.0,Md. Anwar Hossain Molla,Jamaat,91690.0,66668.0,408829,207849,200977,3,Normal,250048.0,63.331040440235476,26.662080880470953,50.84008228379102,49.15918391307857,0.0007338031304041543,1.6808983707124483,Moderate
205,Dhaka,Narayanganj-2,13.7,50.8,Md. Nazrul Islam Azad,BNP,124291.0,Md Ilyach Molla,Jamaat,81054.0,43237.0,364098,187801,176292,5,Normal,205345.0,60.52789208405367,21.05578416810733,51.579794450944526,48.41883229240479,0.0013732566506819593,3.160962158539739,Moderate
206,Dhaka,Narayanganj-3,13.7,50.8,Azharul Islam Mannan,BNP,155400.0,Md. Iqbal Hossain Bhuiyan,Jamaat,134918.0,20482.0,593348,302290,291055,3,Normal,290318.0,53.52751121184356,7.055022423687129,50.946493457465095,49.053000937055494,0.0005056054794151156,1.8934925204096018,Close
207,Dhaka,Narayanganj-4,13.7,50.8,Abdullah Al Amin,NCP,106171.0,Monir Hossain,JUIB,80619.0,25552.0,540783,273715,267062,6,Normal,186790.0,56.839766582793516,13.679533165587024,50.61457183380394,49.384318663863326,0.0011095023327286546,1.2302531699406174,Close
208,Dhaka,Narayanganj-5,13.7,50.8,Abul Kalam,BNP,114799.0,ABM Sirajul Mamun,BKM,101196.0,13603.0,485288,243768,241512,8,Normal,215995.0,53.14891548415473,6.297830968309452,50.23161504096536,49.76673645340499,0.0016485056296467254,0.4648785875603707,Close
209,Dhaka,Rajbari-1,27.8,50.8,Ali Newaz Mahmud Khayyam,BNP,154541.0,Md. Nurul Islam,Jamaat,101092.0,53449.0,430216,216150,214058,8,Normal,255633.0,60.4542449527252,20.90848990545039,50.24220391617234,49.75593655280138,0.0018595310262751732,0.4862673633709633,Moderate
210,Dhaka,Rajbari-2,27.8,50.8,Md. Haroon-or-Rashid,BNP,237254.0,Jamil Hijazi,NCP,67299.0,169955.0,559696,285544,274146,6,Normal,304553.0,77.9023683890817,55.80473677816341,51.01769532031675,48.98123266916326,0.0010720105199965697,2.036462651153485,Very Large
211,Dhaka,Faridpur-1,27.0,50.8,Md. Elias Molla,Jamaat,154145.0,Khandokar Nasirul Islam,BNP,126476.0,27669.0,510540,259335,251204,1,Normal,280621.0,54.92995891255465,9.859917825109312,50.796215771536026,49.203588357425474,0.0001958710385082462,1.5926274141105523,Close
212,Dhaka,Faridpur-2,27.0,50.8,Shama Obaed,BNP,121694.0,Md. Akram Ali,BKM,89305.0,32389.0,332041,172904,159137,0,Normal,210999.0,57.67515485855383,15.350309717107663,52.07308735969354,47.92691264030647,0.0,4.146174719387069,Moderate
213,Dhaka,Faridpur-3,27.0,50.8,Nayab Yusuf Ahmed,BNP,148545.0,Md. Abdul Tawab,Jamaat,124115.0,24430.0,432628,216022,216600,6,Normal,272660.0,54.479938384801585,8.959876769603168,49.9325055243766,50.06610760283662,0.0013868727867821778,-0.13360207846001515,Close
214,Dhaka,Faridpur-4,27.0,50.8,Md. Shahidul Islam,BNP,127443.0,Md. Sarwar Hossain,Jamaat,75805.0,51638.0,496706,254655,242050,1,Normal,203248.0,62.70320003148863,25.406400062977248,51.26875858153516,48.73104009212693,0.00020132633791417862,2.5377184894082276,Moderate
215,Dhaka,Gopalganj-1,25.7,50.8,Md. Selimuzzaman Molya,BNP,69462.0,Md. Kabir Miya,GOP,54329.0,15133.0,399510,202816,196694,0,Normal,123791.0,56.11231834301363,12.224636686027255,50.76618858101174,49.23381141898826,0.0,1.5323771620234794,Close
216,Dhaka,Gopalganj-2,25.7,50.8,KM Babar,BNP,40048.0,M. H. Khan Manju,IND,33039.0,7009.0,384326,194060,190262,4,Normal,73087.0,54.79497037776896,9.58994075553792,50.49359137815293,49.505367838761885,0.0010407830851932994,0.9882235393910435,Close
217,Dhaka,Gopalganj-3,25.7,50.8,S. M. Jilani,BNP,60166.0,Gobinda Chandra Pramanik,IND,33867.0,26299.0,308784,158403,150380,1,Normal,94033.0,63.98392053853434,27.96784107706869,51.29896626768227,48.700709881341005,0.0003238509767345458,2.598256386341262,Moderate
218,Dhaka,Madaripur-1,54.4,50.8,Syed Uddin Ahmad Hanzala,BKM,64909.0,Nadira Akhter,BNP,64524.0,385.0,324289,169041,155246,2,Normal,129433.0,50.148725595481835,0.29745119096366457,52.12665246123057,47.87273080493017,0.0006167338392606595,4.253921656300399,Very Close
219,Dhaka,Madaripur-2,54.4,50.8,Md. Jahandar Ali Mia,BNP,61744.0,Milton Baiddo,IND,46476.0,15268.0,436233,223624,212601,8,Normal,108220.0,57.05414895583072,14.10829791166143,51.26251338161028,48.73565273603785,0.001833882351862422,2.526860645572434,Close
220,Dhaka,Madaripur-3,54.4,50.8,Anishur Rahman,BNP,96188.0,Md. Rafiqul Islam,Jamaat,84646.0,11542.0,387806,202645,185159,2,Normal,180834.0,53.19132464027783,6.382649280555648,52.25421989345188,47.745264384769705,0.0005157217784149807,4.5089555086821775,Close
221,Dhaka,Shariatpur-1,27.1,50.8,Saeed Ahmed,BNP,77398.0,Jalaluddin Ahmad,BKM,62717.0,14681.0,395476,207730,187736,10,Normal,140115.0,55.23891089462227,10.47782178924455,52.526575569693236,47.470895831858314,0.002528598448451992,5.055679737834922,Close
222,Dhaka,Shariatpur-2,27.1,50.8,Md. Safiqur Rahman Kiran,BNP,129814.0,Mahmud Hossain,Jamaat,70892.0,58922.0,415135,215993,199140,2,Normal,200706.0,64.6786842446165,29.35736848923301,52.02958073879581,47.96993749021403,0.0004817709901598275,4.059643248581779,Moderate
223,Dhaka,Shariatpur-3,27.1,50.8,Mia Nuruddin Ahmed Apu,BNP,107516.0,Muhammad Azharul Islam,Jamaat,69684.0,37832.0,340142,174068,166072,2,Normal,177200.0,60.67494356659142,21.349887133182843,51.17509745929642,48.824314550981654,0.0005879897219396605,2.3507829083147627,Moderate
224,Sylhet,Sunamganj-1,27.2,40.8,Kamruzzaman Kamrul,BNP,161774.0,Tofail Ahmed,Jamaat,92966.0,68808.0,501556,256186,245360,10,Normal,254740.0,63.50553505535055,27.01107011070111,51.078244503106326,48.91976170158467,0.0019937953089983968,2.1584828015216573,Moderate
225,Sylhet,Sunamganj-2,27.2,40.8,Md. Nasir Chowdhury,BNP,99522.0,Mohammad Shishir Monir,Jamaat,63220.0,36302.0,306052,154652,151399,1,Normal,162742.0,61.153236411006375,22.306472822012758,50.53128226575876,49.46839099238038,0.00032674186086024596,1.0628912733783835,Moderate
226,Sylhet,Sunamganj-3,27.2,40.8,Mohammad Kaisar Ahmed,BNP,97313.0,Md. Anwar Hossain,IND,42226.0,55087.0,373016,189243,183767,6,Normal,139539.0,69.7389260350153,39.4778520700306,50.73321251635319,49.2651789735561,0.0016085100907199694,1.4680335427970945,Large
227,Sylhet,Sunamganj-4,27.2,40.8,Nurul Islam,BNP,98092.0,Md. Shams Uddin,Jamaat,75735.0,22357.0,372185,189359,182813,13,Normal,173827.0,56.430819147773356,12.86163829554672,50.87765492967207,49.118852183725835,0.0034928866020930453,1.7588027459462339,Close
228,Sylhet,Sunamganj-5,27.2,40.8,Kalim Uddin Ahmed,BNP,151915.0,Abu Tahir Muhammad Abdus Salam,Jamaat,102121.0,49794.0,527458,270620,256836,2,Normal,254036.0,59.80057944543293,19.60115889086586,51.30645473194074,48.69316609094942,0.00037917710983623344,2.613288640991321,Moderate
229,Sylhet,Sylhet-1,16.0,40.8,Khandakar Abdul Muktadir,BNP,176936.0,Maulana Habibur Rahman,Jamaat,134983.0,41953.0,680946,353186,327747,13,Normal,311919.0,56.72498308855825,13.449966177116496,51.866961550548794,48.13112934065256,0.0019091087986418895,3.7358322098962304,Close
230,Sylhet,Sylhet-2,16.0,40.8,Tahsina Rushdir Luna,BNP,116697.0,Muhammad Muntasir Ali,KM,37446.0,79251.0,368932,188679,180253,0,Normal,154143.0,75.70697339483466,51.41394678966933,51.14194485704683,48.85805514295317,0.0,2.283889714093661,Very Large
231,Sylhet,Sylhet-3,16.0,40.8,Mohammad Abdul Malik,BNP,114255.0,Musleh Uddin Raju,BKM,73614.0,40641.0,416000,211709,204289,2,Normal,187869.0,60.81631349504176,21.632626990083516,50.89158653846154,49.10793269230769,0.0004807692307692308,1.7836538461538467,Moderate
232,Sylhet,Sylhet-4,16.0,40.8,Ariful Haque Chowdhury,BNP,186846.0,Md Zainal Abedin,Jamaat,71391.0,115455.0,512933,267130,245802,1,Normal,258237.0,72.35446508439921,44.708930168798425,52.07892648747497,47.9208785552889,0.00019495723613025483,4.158047932186072,Large
233,Sylhet,Sylhet-5,16.0,40.8,Mohammad Abul Hasan,KM,79355.0,Ubaidullah Faruk,JUIB,69774.0,9581.0,428748,221357,207391,0,Normal,149129.0,53.21231953543576,6.424639070871526,51.62869564406132,48.37130435593869,0.0,3.2573912881226263,Close
234,Sylhet,Sylhet-6,16.0,40.8,Emran Ahmed Chowdhury,BNP,70794.0,Mohammad Selim Uddin,Jamaat,55923.0,14871.0,509093,256938,252155,0,Normal,126717.0,55.86779990056583,11.735599801131656,50.46975699921232,49.53024300078768,0.0,0.9395139984246441,Close
235,Sylhet,Moulvibazar-1,20.4,40.8,Nasir Uddin Ahmed,BNP,98282.0,Mohammad Aminul Islam,Jamaat,83013.0,15269.0,337816,172998,164816,2,Normal,181295.0,54.21109241843405,8.422184836868087,51.21071826082838,48.78868970090227,0.000592038269353731,2.4220285599261118,Close
236,Sylhet,Moulvibazar-2,20.4,40.8,Shawkat Hossain Saku,BNP,88381.0,Md. Syed Ali,Jamaat,53458.0,34923.0,303020,157128,145892,0,Normal,141839.0,62.31078899315421,24.62157798630842,51.85400303610322,48.14599696389677,0.0,3.7080060722064516,Moderate
237,Sylhet,Moulvibazar-3,20.4,40.8,Nasser Rahman,BNP,156757.0,Md. Abdul Mannan,Jamaat,77636.0,79121.0,486212,248109,238099,4,Normal,234393.0,66.87785044775228,33.75570089550456,51.02897501501402,48.970202298585804,0.0008226864001711189,2.0587727164282157,Large
238,Sylhet,Moulvibazar-4,20.4,40.8,Md. Mujibur Rahman Chowdhury,BNP,170877.0,Sheikh Noor-e-Alam Hamidi,BKM,50204.0,120673.0,487892,246202,241688,2,Normal,221081.0,77.29158091378274,54.58316182756546,50.462397415821535,49.53719265739139,0.0004099267870758283,0.9252047584301479,Very Large
239,Sylhet,Habiganj-1,10.9,40.8,Reza Kibria,BNP,111999.0,Maulana Sirajul Islam,BKM,56132.0,55867.0,466921,236576,230340,5,Normal,168131.0,66.61412826902831,33.228256538056634,50.66724349515228,49.331685659886794,0.0010708449609248675,1.335557835265483,Large
240,Sylhet,Habiganj-2,10.9,40.8,Abu Mansoor Sakhawat Hasan,BNP,126583.0,Abdul Basit Azad,BKM,65762.0,60821.0,394756,200162,194590,4,Normal,192345.0,65.81039278379994,31.620785567599885,50.70524577207186,49.29374094377286,0.001013284155275664,1.4115048282990017,Large
241,Sylhet,Habiganj-3,10.9,40.8,G. K. Gouse,BNP,142348.0,Qazi Mohsin Ahmad,Jamaat,45568.0,96780.0,419573,213298,206262,13,Normal,187916.0,75.75086740884225,51.50173481768449,50.836922299575996,49.15997931230084,0.0030983881231633112,1.6769429872751545,Very Large
242,Sylhet,Habiganj-4,10.9,40.8,S. M. Faisal,BNP,188072.0,Md Ghiyas Uddin,BIF,84323.0,103749.0,552711,278660,274049,2,Normal,272395.0,69.04385175939353,38.08770351878706,50.416944840974764,49.58269330626675,0.0003618527584940412,0.8342515347080166,Large
243,Chittagong,Brahmanbaria-1,20.2,51.0,M. A. Hannan,BNP,68092.0,A. K. M. Aminul Islam,Jamaat,35220.0,32872.0,275629,146269,129357,3,Normal,103312.0,65.9090909090909,31.818181818181817,53.06734777545179,46.93156380496972,0.001088419578491378,6.135783970482073,Large
244,Chittagong,Brahmanbaria-2,20.2,51.0,Rumeen Farhana,IND,118547.0,Mohammad Junaid Al Habib,JUIB,80434.0,38113.0,499448,265245,234201,2,Normal,198981.0,59.577045044501745,19.15409008900347,53.107630824430174,46.89196873348177,0.00040044208806522404,6.215662090948406,Moderate
245,Chittagong,Brahmanbaria-3,20.2,51.0,Md. Khaled Hossain Mahbub,BNP,209636.0,Md. Ataullah,NCP,62547.0,147089.0,624601,328182,296419,0,Normal,272183.0,77.0202400590779,54.0404801181558,52.54266323621,47.45733676379,0.0,5.085326472419993,Very Large
246,Chittagong,Brahmanbaria-4,20.2,51.0,Mushfiqur Rahman,BNP,139842.0,Md. Ataur Rahman Sarkar,Jamaat,91796.0,48046.0,443909,230647,213256,6,Normal,231638.0,60.37092359630113,20.74184719260225,51.95817160724383,48.04047676438189,0.0013516283742839186,3.917694842861934,Moderate
247,Chittagong,Brahmanbaria-5,20.2,51.0,Md. Abdul Mannan,BNP,85769.0,Kazi Nazmul Hossain,IND,84708.0,1061.0,474826,248737,226085,4,Normal,170477.0,50.311185673140656,0.6223713462813165,52.38487361686176,47.614283969285594,0.0008424138526533931,4.770589647576166,Very Close
248,Chittagong,Brahmanbaria-6,20.2,51.0,Zonayed Saki,GSA,95342.0,Md. Mohsin,Jamaat,39976.0,55366.0,289674,147260,142413,1,Normal,135318.0,70.45773659084527,40.91547318169054,50.83645753502213,49.16319724932165,0.0003452156562204409,1.6732602857004792,Large
249,Chittagong,Comilla-1,13.4,51.0,Khandkar Mosharraf Hossain,BNP,141440.0,Md. Moniruzzaman,Jamaat,94845.0,46595.0,438616,225088,213528,0,Normal,236285.0,59.8599149332374,19.719829866474807,51.317781385084,48.682218614916,0.0,2.6355627701679936,Moderate
250,Chittagong,Comilla-2,13.4,51.0,Md. Abdul Mannan,BNP,77037.0,Md. Abdul Matin,IND,63045.0,13992.0,375067,196119,178947,1,Normal,140082.0,54.99421767250611,9.988435345012208,52.28905768835968,47.71067569260959,0.00026661903073317566,4.578381995750085,Close
251,Chittagong,Comilla-3,13.4,51.0,Kazi Shah Mofazzal Hossain Kaikobad,BNP,159291.0,Md. Yusuf Sohail,Jamaat,109599.0,49692.0,500726,258905,241817,4,Normal,268890.0,59.24020975119938,18.48041950239875,51.70592299980429,48.29327816011152,0.0007988400841977449,3.412644839692767,Moderate
252,Chittagong,Comilla-4,13.4,51.0,Hasnat Abdullah,NCP,166583.0,Md. Jasim Uddin,GOP,49885.0,116698.0,410559,215237,195319,3,Normal,216468.0,76.95502337527948,53.91004675055897,52.425351776480355,47.57391751246472,0.00073071105492755,4.851434264015637,Very Large
253,Chittagong,Comilla-5,13.4,51.0,Md. Jashim Uddin,BNP,134485.0,Mubarak Hossain,Jamaat,124587.0,9898.0,476172,247155,229017,0,Normal,259072.0,51.91027976778656,3.8205595355731226,51.9045638970792,48.09543610292079,0.0,3.8091277941584067,Very Close
254,Chittagong,Comilla-6,13.4,51.0,Monirul Haq Chowdhury,BNP,201706.0,Qazi Deen Mohammad,Jamaat,119851.0,81855.0,644777,324195,320575,7,Normal,321557.0,62.72791449105446,25.455828982108926,50.28017438587295,49.718739967461616,0.001085646665436267,0.5614344184113307,Moderate
255,Chittagong,Comilla-7,13.4,51.0,Atikul Alam Shawon,IND,91690.0,Redwan Ahmed,BNP,48509.0,43181.0,329166,169361,159799,6,Normal,140199.0,65.39989586231,30.799791724620007,51.451547243639986,48.54662996785816,0.0018227885018501306,2.904917275781827,Large
256,Chittagong,Comilla-8,13.4,51.0,Zakaria Taher Sumon,BNP,169178.0,Md. Shafiqul Alam Helal,Jamaat,45091.0,124087.0,380833,196098,184732,3,Normal,214269.0,78.95589189290098,57.911783785801966,51.49186126202299,48.507350991116844,0.0007877468601723066,2.984510270906142,Very Large
257,Chittagong,Comilla-9,13.4,51.0,Md. Abul Kalam,BNP,170008.0,AKM Sarwar Uddin Siddiqui,Jamaat,118961.0,51047.0,478535,247765,230769,1,Normal,288969.0,58.83260834207129,17.66521668414259,51.77573218259898,48.22405884627039,0.0002089711306383023,3.551673336328591,Moderate
258,Chittagong,Comilla-10,13.4,51.0,Md. Mobaswer Alam Bhuiyan,BNP,163667.0,Mohammad Ibrahim Abrar,Jamaat,123733.0,39934.0,536227,276647,259579,1,Normal,287400.0,56.947459986082116,13.89491997216423,51.59139692704768,48.408416584767274,0.00018648818504103673,3.182980342280409,Close
259,Chittagong,Comilla-11,13.4,51.0,Syed Abdullah Muhammad Taher,Jamaat,133308.0,Md. Kamrul Huda,BNP,76638.0,56670.0,421632,216923,204705,4,Normal,209946.0,63.49632762710411,26.992655254208227,51.44841947480268,48.55063183060109,0.0009486945962355799,2.8977876442015855,Moderate
260,Chittagong,Chandpur-1,24.6,51.0,A. N. M. Ehsanul Hoque Milan,BNP,133032.0,Abu Nashar Maqbool Ahmad,Jamaat,70368.0,62664.0,356485,184802,171680,3,Normal,203400.0,65.40412979351032,30.808259587020647,51.84004937094128,48.15910907892338,0.0008415501353493134,3.680940292017901,Large
261,Chittagong,Chandpur-2,24.6,51.0,Md. Jalal Uddin,BNP,172506.0,Md. Bilal Hossain,LDP,57473.0,115033.0,501061,256500,244559,2,Normal,229979.0,75.00945738523951,50.01891477047904,51.1913719088095,48.80822893819315,0.0003991529973396453,2.3831429706163476,Very Large
262,Chittagong,Chandpur-3,24.6,51.0,Sheikh Farid Ahmed,BNP,165404.0,Md. Shahjahan Mia,Jamaat,100865.0,64539.0,546334,282704,263628,2,Normal,266269.0,62.11913516030781,24.23827032061562,51.745635453770035,48.25399846980052,0.00036607642943693784,3.4916369839695136,Moderate
263,Chittagong,Chandpur-4,24.6,51.0,Md. Abdul Hannan,IND,74175.0,Md. Harunur Rashid,BNP,69155.0,5020.0,400631,208603,192027,1,Normal,143330.0,51.751203516360846,3.502407032721691,52.06861176494081,47.931138628813045,0.00024960624614670353,4.137473136127767,Very Close
264,Chittagong,Chandpur-5,24.6,51.0,Md. Mominul Haque,BNP,185404.0,Md. Neyamul Bashir,LDP,75660.0,109744.0,526679,269243,257433,3,Normal,261064.0,71.01860080286826,42.03720160573653,51.120891472794625,48.878538920291106,0.0005696069142684633,2.242352552503519,Large
